Date,Company,Price,Change,% Change
2023-08-17,,,,
,Apple Inc (AAPL),174.00,-2.57,-2.57
,Adobe Systems Incorporated (ADBE),511.67,-2.82,-2.82
,NetApp Inc (NTAP),75.03,-0.38,-0.38
,Cisco Systems Inc (CSCO),54.73,+1.77,+1.77
,Microsoft Corporation (MSFT),316.88,-3.52,-3.52
,Amazon.com Inc (AMZN),133.98,-1.09,-1.09
,Tesla Inc (TSLA),219.22,-6.38,-6.38
,VMware Inc (VMW),155.45,-0.33,-0.33
,DocuSign Inc (DOCU),47.62,-0.74,-0.74
,Splunk Inc (SPLK),97.15,+0.13,+0.13
,General Electric Company (GE),110.96,-2.61,-2.61
,Utilities Select Sector SPDR® Fund (XLU),63.16,-0.14,-0.14
